일자,구분1,발전소코드,발전소용량(KW),0:00,1:00,2:00,3:00,4:00,5:00,6:00,7:00,8:00,9:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,합계
2023-03-02,실측,S5032,428.13,0.0,0.0,0,0,0,0.0,0.0,4.8,132.4,267.8,346.2,385.8,393.0,375.4,328.6,254.2,149.4,46.2,1.4,0.0,0,0,0,0,2685.2
2023-03-02,실측,S5002,428.8,0.0,0.0,0,0,0,0.0,0.0,22.34,115.92,207.04,278.1,322.24,334.5,321.06,281.04,220.34,129.86,30.52,1.94,0.0,0,0,0,0,2264.9
2023-03-02,실측,S5028,434.97,0.0,0.0,0,0,0,0.0,0.0,19.6,156.6,246.4,299.6,316.8,308.0,272.6,203.8,108.6,30.2,10.2,0.4,0.0,0,0,0,0,1972.8
2023-03-02,실측,B1780,453.33,0.0,0.0,0,0,0,0.0,0.2,8.8,36.2,147.4,260.4,346.2,394.6,411.2,396.0,351.4,260.6,100.6,4.4,0.0,0,0,0,0,2718.0
2023-03-02,실측,B1779,453.33,0.0,0.0,0,0,0,0.0,0.0,8.0,30.2,130.8,250.0,336.6,390.6,410.8,394.6,353.6,267.8,119.6,6.6,0.0,0,0,0,0,2699.2
2023-03-02,실측,B1781,453.33,0.0,0.0,0,0,0,0.0,0.0,9.0,40.2,149.2,255.8,334.4,379.0,395.2,376.8,332.4,246.8,108.0,6.0,0.0,0,0,0,0,2632.8
2023-03-02,실측,S5038,473.04,0.0,0.0,0,0,0,0.0,0.0,8.6,43.6,113.4,209.6,284.2,335.6,356.0,345.2,297.4,215.2,77.0,2.6,0.0,0,0,0,0,2288.4
2023-03-02,실측,S5009,479.52,0.0,0.0,0,0,0,0.0,0.0,47.6,183.0,294.4,359.8,397.0,401.0,375.2,319.6,232.4,126.4,32.0,1.6,0.0,0,0,0,0,2770.0
2023-03-02,실측,S5018,485.64,0.0,0.0,0,0,0,0.0,0.0,53.2,200.2,325.8,409.8,453.2,458.4,428.8,369.2,281.4,160.4,44.0,3.0,0.0,0,0,0,0,3187.4
2023-03-02,실측,G1066,485.94,0.0,0.0,0,0,0,0.0,0.0,7.0,23.6,125.4,259.6,330.4,354.6,353.6,308.0,233.0,94.8,16.4,1.2,0.0,0,0,0,0,2107.6
2023-03-02,실측,B1790,488.25,0.0,0.0,0,0,0,0.0,0.0,23.2,103.0,201.0,284.0,350.8,386.4,374.8,337.4,275.0,159.2,46.2,2.0,0.0,0,0,0,0,2543.0
